name,serving_size,calories,protein_g,carbs_g,fat_g,fiber_g,diet_type,allergens,cuisine
White Rice (Cooked),1 bowl (150g),195,4.0,43.0,0.4,0.6,vegan,none,global
Brown Rice (Cooked),1 bowl (150g),168,3.8,35.0,1.4,2.8,vegan,none,global
Whole Wheat Bread,2 slices (60g),150,6.0,26.0,2.0,3.6,vegan,gluten,global
Oats (Cooked),1 bowl (200g),150,5.0,27.0,2.5,4.0,vegan,none,global
Boiled Egg,1 large (50g),78,6.3,0.6,5.3,0.0,eggitarian,egg,global
Scrambled Eggs (2 eggs),1 serving (110g),180,12.5,1.5,13.5,0.0,eggitarian,egg,global
Grilled Chicken Breast,1 fillet (120g),198,37.0,0.0,4.5,0.0,non-vegetarian,none,global
Chicken Curry,1 bowl (180g),240,24.0,6.0,13.0,1.5,non-vegetarian,none,indian
Tofu (Firm),100g,144,17.0,3.0,8.0,2.0,vegan,soy,global
Greek Yogurt (Plain),1 cup (170g),100,17.0,6.0,0.7,0.0,vegetarian,dairy,global
Whole Milk,1 glass (240ml),150,8.0,12.0,8.0,0.0,vegetarian,dairy,global
Almonds,1 handful (30g),170,6.0,6.0,15.0,3.5,vegan,tree nuts,global
Banana,1 medium (118g),105,1.3,27.0,0.3,3.1,vegan,none,global
Apple,1 medium (182g),95,0.5,25.0,0.3,4.4,vegan,none,global
Steamed Broccoli,1 cup (150g),55,3.7,11.0,0.6,5.1,vegan,none,global
Boiled Potato,1 medium (150g),130,3.0,30.0,0.2,3.0,vegan,none,global
Mixed Salad Greens,1 large bowl (100g),25,1.8,4.5,0.3,2.2,vegan,none,global
Peanut Butter,2 tbsp (32g),190,8.0,7.0,16.0,2.0,vegan,peanuts,global
Salmon Fillet,1 fillet (150g),310,34.0,0.0,18.0,0.0,non-vegetarian,fish,global
Cottage Cheese,1 cup (220g),220,28.0,8.0,9.0,0.0,vegetarian,dairy,global
Whey Protein Shake,1 scoop with water (30g),120,24.0,2.0,1.5,0.5,vegetarian,dairy,global
Lentil Soup (Yellow Dal),1 bowl (200g),160,9.5,26.0,3.0,4.5,vegan,none,indian
Chickpea Salad,1 bowl (180g),210,10.0,32.0,4.5,7.0,vegan,none,mediterranean
Avocado,half fruit (100g),160,2.0,8.5,14.7,6.7,vegan,none,global
Sweet Potato (Baked),1 medium (130g),115,2.0,27.0,0.2,4.0,vegan,none,global
