id,title,meal_type,diet_type,cuisine,calories,protein_g,carbs_g,fat_g,fiber_g,allergens,goal_suitability,items_json,description,why_recommended
R101,High-Protein Paneer Power Bowl,lunch,vegetarian,indian,520,32.0,48.0,22.0,8.5,dairy,muscle_gain,"[""Paneer Tikka"", ""Brown Rice (Cooked)"", ""Mix Vegetable Sabzi"", ""Curd (Dahi / Homemade)""]","Grilled paneer cubes over warm brown rice and spiced seasonal greens with probiotic dahi.","Optimal post-workout plate delivering 32g protein to support muscle recovery while providing complex carbohydrates and micronutrients."
R102,Desi Dal-Roti Balanced Plate,lunch,vegan,indian,435,16.5,73.0,7.5,11.5,gluten,weight_loss,"[""Roti (Whole Wheat Chapati) x2"", ""Dal Tadka"", ""Mixed Salad Greens""]","Two fresh whole-wheat rotis paired with protein-rich yellow dal and fresh cucumber-tomato salad.","Naturally low in fat, high in dietary fiber for prolonged satiety, and matches authentic traditional Indian preferences."
R103,Soya Chunk & Vegetable Khichdi,dinner,vegan,indian,450,30.5,56.0,12.0,10.5,soy,muscle_gain,"[""Soybean Chunk Curry"", ""Moong Dal Khichdi""]","Nutrient-dense comforting moong dal khichdi infused with protein-packed textured soy chunks.","High plant protein (over 30g), easy on evening digestion, and zero cholesterol."
R104,Grilled Chicken & Quinoa Fitness Feast,dinner,non-vegetarian,global,490,44.0,38.0,14.0,6.0,none,muscle_gain,"[""Grilled Chicken Breast"", ""Brown Rice (Cooked)"", ""Steamed Broccoli""]","Lean chicken breast seasoned with herbs alongside warm brown grains and crisp steamed broccoli.","Exceptional lean protein density (44g) with minimal saturated fat, ideal for active recovery and lean mass building."
R105,Sprouted Moong & Besan Chilla Breakfast,breakfast,vegan,indian,370,22.0,52.0,8.5,11.5,none,weight_loss,"[""Besan Chilla (Gram Flour Pancake)"", ""Sprouted Moong Salad""]","Crispy gram flour savoury pancakes accompanied by crunchy spiced sprouted moong salad.","Low glycemic index breakfast loaded with bio-available plant protein and fiber to eliminate mid-morning sugar crashes."
R106,Tandoori Chicken & Roti Fuel Pack,dinner,non-vegetarian,indian,510,38.0,40.0,15.0,4.5,dairy|gluten,general_wellness,"[""Tandoori Chicken (1 leg quarter)"", ""Roti (Whole Wheat Chapati) x2"", ""Mixed Salad Greens""]","Clay-oven spiced roasted chicken served with two chapatis and crisp mint-lemon salad.","High satiety and excellent protein content with moderate carbs suited for evening recovery."
R107,Greek Yogurt Berry Nut Crunch,breakfast,vegetarian,global,375,24.3,39.0,16.0,6.6,dairy|tree nuts,weight_loss,"[""Greek Yogurt (Plain)"", ""Banana"", ""Almonds""]","Creamy thick Greek yogurt topped with banana slices, crushed almonds, and a touch of cinnamon.","Rich in bioactive whey & casein proteins, healthy monounsaturated fats, and live gut-friendly cultures."
R108,Boiled Eggs & Whole Wheat Toast,breakfast,eggitarian,global,308,18.6,27.2,12.6,3.6,egg|gluten,maintenance,"[""Boiled Egg x2"", ""Whole Wheat Bread""]","Classic dual farm eggs with toasted fiber-rich whole wheat bread slices.","Clean source of choline, high biological value protein, and steady morning stamina."
R109,Rajma Chawal Comfort Thali,lunch,vegan,indian,510,19.8,97.0,4.8,11.9,none,maintenance,"[""Rajma (Kidney Bean Curry)"", ""White Rice (Cooked)"", ""Mixed Salad Greens""]","Traditional slow-cooked kidney beans in aromatic gravy over steamed basmati rice with sliced onions and cucumber.","Complete amino acid complementarity between legumes and grains providing balanced sustained energy."
R110,Palak Paneer & Multigrain Roti,dinner,vegetarian,indian,410,20.0,42.0,18.0,8.0,dairy|gluten,weight_loss,"[""Palak Paneer"", ""Roti (Whole Wheat Chapati) x2""]","Iron-rich vibrant spinach puree with fresh cottage cheese cubes served alongside soft rotis.","Packed with micronutrients (iron, calcium, folate) while keeping caloric load moderate for restful sleep."
R111,Tofu Stir-fry with Brown Rice,dinner,vegan,global,427,24.5,49.0,10.0,9.9,soy,weight_loss,"[""Tofu (Firm)"", ""Brown Rice (Cooked)"", ""Steamed Broccoli""]","Pan-seared firm tofu with broccoli florets, bell peppers, and low-sodium tamari over whole brown rice.","Completely plant-based, 100% cholesterol-free, and delivers 24.5g clean vegan protein."
R112,South Indian Idli Sambar Trio,breakfast,vegan,indian,370,11.5,75.0,3.3,7.0,none,general_wellness,"[""Idli (Steamed Rice Cakes) x4"", ""Sambar""]","Four steamed fermented rice and black gram cakes immersed in hot vegetable-lentil stew.","Easily digestible, naturally fermented for gut microbiome health, and light yet energizing."
